"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2004","3","10","00:00","283"
"Jokioinen Ilmala","2004","3","11","00:00","285.1"
"Jokioinen Ilmala","2004","3","12","00:00","294.4"
"Jokioinen Ilmala","2004","3","13","00:00","241.8"
"Jokioinen Ilmala","2004","3","14","00:00","3.7"
"Jokioinen Ilmala","2004","3","15","00:00","0.6"
"Jokioinen Ilmala","2004","3","16","00:00","4.1"
"Jokioinen Ilmala","2004","3","17","00:00","214.9"
"Jokioinen Ilmala","2004","3","18","00:00","113.7"
"Jokioinen Ilmala","2004","3","19","00:00","301.7"
"Jokioinen Ilmala","2004","3","20","00:00","0.4"
"Jokioinen Ilmala","2004","3","21","00:00","1.5"
"Jokioinen Ilmala","2004","3","22","00:00","11.9"
"Jokioinen Ilmala","2004","3","23","00:00","17.2"
"Jokioinen Ilmala","2004","3","24","00:00","2"
"Jokioinen Ilmala","2004","3","25","00:00","6.4"
"Jokioinen Ilmala","2004","3","26","00:00","133.7"
"Jokioinen Ilmala","2004","3","27","00:00","124.2"
"Jokioinen Ilmala","2004","3","28","00:00","371"
"Jokioinen Ilmala","2004","3","29","00:00","143.9"
"Jokioinen Ilmala","2004","3","30","00:00","94.8"
"Jokioinen Ilmala","2004","3","31","00:00","401.9"
"Jokioinen Ilmala","2004","4","1","00:00","424.2"
"Jokioinen Ilmala","2004","4","2","00:00","399.6"
"Jokioinen Ilmala","2004","4","3","00:00","405.6"
"Jokioinen Ilmala","2004","4","4","00:00","387.3"
"Jokioinen Ilmala","2004","4","5","00:00","87.6"
"Jokioinen Ilmala","2004","4","6","00:00","89.2"
"Jokioinen Ilmala","2004","4","7","00:00","271.8"
"Jokioinen Ilmala","2004","4","8","00:00","403.5"
"Jokioinen Ilmala","2004","4","9","00:00","363.2"
"Jokioinen Ilmala","2004","4","10","00:00","217.7"
"Jokioinen Ilmala","2004","4","11","00:00","128.7"
"Jokioinen Ilmala","2004","4","12","00:00","357.5"
"Jokioinen Ilmala","2004","4","13","00:00","388"
"Jokioinen Ilmala","2004","4","14","00:00","10.2"
"Jokioinen Ilmala","2004","4","15","00:00","315.8"
"Jokioinen Ilmala","2004","4","16","00:00","167.5"
"Jokioinen Ilmala","2004","4","17","00:00","352.9"
"Jokioinen Ilmala","2004","4","18","00:00","107.9"
"Jokioinen Ilmala","2004","4","19","00:00","329.8"
"Jokioinen Ilmala","2004","4","20","00:00","14.8"
"Jokioinen Ilmala","2004","4","21","00:00","45.5"
"Jokioinen Ilmala","2004","4","22","00:00","311.1"
"Jokioinen Ilmala","2004","4","23","00:00","362.8"
"Jokioinen Ilmala","2004","4","24","00:00","230.7"
"Jokioinen Ilmala","2004","4","25","00:00","430"
"Jokioinen Ilmala","2004","4","26","00:00","348.5"
"Jokioinen Ilmala","2004","4","27","00:00","91.9"
"Jokioinen Ilmala","2004","4","28","00:00","270.7"
"Jokioinen Ilmala","2004","4","29","00:00","107.4"
"Jokioinen Ilmala","2004","4","30","00:00","361"
"Jokioinen Ilmala","2004","5","1","00:00","195.8"
"Jokioinen Ilmala","2004","5","2","00:00","428.1"
"Jokioinen Ilmala","2004","5","3","00:00","379.2"
"Jokioinen Ilmala","2004","5","4","00:00","0.3"
"Jokioinen Ilmala","2004","5","5","00:00","283.2"
"Jokioinen Ilmala","2004","5","6","00:00","341.7"
"Jokioinen Ilmala","2004","5","7","00:00","215.6"
"Jokioinen Ilmala","2004","5","8","00:00","160.5"
"Jokioinen Ilmala","2004","5","9","00:00","160.8"
"Jokioinen Ilmala","2004","5","10","00:00","142.1"
"Jokioinen Ilmala","2004","5","11","00:00","350.1"
"Jokioinen Ilmala","2004","5","12","00:00","215"
"Jokioinen Ilmala","2004","5","13","00:00","294.6"
"Jokioinen Ilmala","2004","5","14","00:00","27.3"
"Jokioinen Ilmala","2004","5","15","00:00","261.3"
"Jokioinen Ilmala","2004","5","16","00:00","8.6"
"Jokioinen Ilmala","2004","5","17","00:00","354.5"
"Jokioinen Ilmala","2004","5","18","00:00","42.3"
"Jokioinen Ilmala","2004","5","19","00:00","36.6"
"Jokioinen Ilmala","2004","5","20","00:00","288.6"
"Jokioinen Ilmala","2004","5","21","00:00","45.5"
"Jokioinen Ilmala","2004","5","22","00:00","120.1"
"Jokioinen Ilmala","2004","5","23","00:00","97.3"
"Jokioinen Ilmala","2004","5","24","00:00","156.5"
"Jokioinen Ilmala","2004","5","25","00:00","193.6"
"Jokioinen Ilmala","2004","5","26","00:00","467.1"
"Jokioinen Ilmala","2004","5","27","00:00","113.5"
"Jokioinen Ilmala","2004","5","28","00:00","105"
"Jokioinen Ilmala","2004","5","29","00:00","177.5"
"Jokioinen Ilmala","2004","5","30","00:00","34.2"
"Jokioinen Ilmala","2004","5","31","00:00","124.7"
"Jokioinen Ilmala","2004","6","1","00:00","312"
"Jokioinen Ilmala","2004","6","2","00:00","372.5"
"Jokioinen Ilmala","2004","6","3","00:00","382.8"
"Jokioinen Ilmala","2004","6","4","00:00","413.3"
"Jokioinen Ilmala","2004","6","5","00:00","485.9"
"Jokioinen Ilmala","2004","6","6","00:00","215.1"
"Jokioinen Ilmala","2004","6","7","00:00","34.3"
"Jokioinen Ilmala","2004","6","8","00:00","114"
"Jokioinen Ilmala","2004","6","9","00:00","587.6"
"Jokioinen Ilmala","2004","6","10","00:00","212.7"
"Jokioinen Ilmala","2004","6","11","00:00","0.3"
"Jokioinen Ilmala","2004","6","12","00:00","3.2"
"Jokioinen Ilmala","2004","6","13","00:00","156.4"
"Jokioinen Ilmala","2004","6","14","00:00","203.2"
"Jokioinen Ilmala","2004","6","15","00:00","397.5"
"Jokioinen Ilmala","2004","6","16","00:00","47.3"
"Jokioinen Ilmala","2004","6","17","00:00","152.3"
"Jokioinen Ilmala","2004","6","18","00:00","232.6"
"Jokioinen Ilmala","2004","6","19","00:00","113.5"
"Jokioinen Ilmala","2004","6","20","00:00","311.9"
"Jokioinen Ilmala","2004","6","21","00:00","118.6"
"Jokioinen Ilmala","2004","6","22","00:00","240.3"
"Jokioinen Ilmala","2004","6","23","00:00","57.2"
"Jokioinen Ilmala","2004","6","24","00:00","20.6"
"Jokioinen Ilmala","2004","6","25","00:00","262.3"
"Jokioinen Ilmala","2004","6","26","00:00","123.2"
"Jokioinen Ilmala","2004","6","27","00:00","73.3"
"Jokioinen Ilmala","2004","6","28","00:00","138.9"
"Jokioinen Ilmala","2004","6","29","00:00","292.4"
"Jokioinen Ilmala","2004","6","30","00:00","0"
"Jokioinen Ilmala","2004","7","1","00:00","167.1"
"Jokioinen Ilmala","2004","7","2","00:00","156.6"
"Jokioinen Ilmala","2004","7","3","00:00","0.3"
"Jokioinen Ilmala","2004","7","4","00:00","153.6"
"Jokioinen Ilmala","2004","7","5","00:00","167.2"
